date_time,metric,result
2023-01-09T13:15:00Z,temp_f,71.834
2023-01-09T13:15:00Z,rh_percent,34.128
2023-01-09T13:15:01Z,temp_f,71.834
2023-01-09T13:15:01Z,rh_percent,33.995
2023-01-09T13:15:02Z,temp_f,71.834
2023-01-09T13:15:02Z,rh_percent,33.929
2023-01-09T13:15:03Z,temp_f,71.834
2023-01-09T13:15:03Z,rh_percent,33.796
2023-01-09T13:15:04Z,temp_f,71.834
2023-01-09T13:15:04Z,rh_percent,33.664
2023-01-09T13:15:05Z,temp_f,71.877
2023-01-09T13:15:05Z,rh_percent,33.533
2023-01-09T13:15:06Z,temp_f,71.877
2023-01-09T13:15:06Z,rh_percent,33.4
2023-01-09T13:15:07Z,temp_f,71.877
2023-01-09T13:15:07Z,rh_percent,33.334
2023-01-09T13:15:08Z,temp_f,71.877
2023-01-09T13:15:08Z,rh_percent,33.267
2023-01-09T13:15:09Z,temp_f,71.877
2023-01-09T13:15:09Z,rh_percent,33.3
2023-01-09T13:15:10Z,temp_f,71.877
2023-01-09T13:15:10Z,rh_percent,33.3
2023-01-09T13:15:11Z,temp_f,71.877
2023-01-09T13:15:11Z,rh_percent,33.334
2023-01-09T13:15:12Z,temp_f,71.877
2023-01-09T13:15:12Z,rh_percent,33.334
2023-01-09T13:15:13Z,temp_f,71.877
2023-01-09T13:15:13Z,rh_percent,33.267
2023-01-09T13:15:14Z,temp_f,71.877
2023-01-09T13:15:14Z,rh_percent,33.267
2023-01-09T13:15:15Z,temp_f,71.877
2023-01-09T13:15:15Z,rh_percent,33.267
2023-01-09T13:15:16Z,temp_f,71.877
2023-01-09T13:15:16Z,rh_percent,33.267
2023-01-09T13:15:17Z,temp_f,71.877
2023-01-09T13:15:17Z,rh_percent,33.267
2023-01-09T13:15:18Z,temp_f,71.877
2023-01-09T13:15:18Z,rh_percent,33.234
2023-01-09T13:15:19Z,temp_f,71.877
2023-01-09T13:15:19Z,rh_percent,33.167
2023-01-09T13:15:20Z,temp_f,71.877
2023-01-09T13:15:20Z,rh_percent,33.068
2023-01-09T13:15:21Z,temp_f,71.877
2023-01-09T13:15:21Z,rh_percent,32.901
2023-01-09T13:15:22Z,temp_f,71.877
2023-01-09T13:15:22Z,rh_percent,32.802
2023-01-09T13:15:23Z,temp_f,71.877
2023-01-09T13:15:23Z,rh_percent,32.802
2023-01-09T13:15:24Z,temp_f,71.92
2023-01-09T13:15:24Z,rh_percent,32.737
2023-01-09T13:15:25Z,temp_f,71.877
2023-01-09T13:15:25Z,rh_percent,32.735
2023-01-09T13:15:26Z,temp_f,71.92
2023-01-09T13:15:26Z,rh_percent,32.671
2023-01-09T13:15:27Z,temp_f,71.92
2023-01-09T13:15:27Z,rh_percent,32.671
2023-01-09T13:15:28Z,temp_f,71.92
2023-01-09T13:15:28Z,rh_percent,32.604
2023-01-09T13:15:29Z,temp_f,71.92
2023-01-09T13:15:29Z,rh_percent,32.604
2023-01-09T13:15:30Z,temp_f,71.92
2023-01-09T13:15:30Z,rh_percent,32.704
2023-01-09T13:15:31Z,temp_f,71.92
2023-01-09T13:15:31Z,rh_percent,32.671
2023-01-09T13:15:32Z,temp_f,71.92
2023-01-09T13:15:32Z,rh_percent,32.571
2023-01-09T13:15:33Z,temp_f,71.92
2023-01-09T13:15:33Z,rh_percent,32.537
2023-01-09T13:15:34Z,temp_f,71.92
2023-01-09T13:15:34Z,rh_percent,32.604
2023-01-09T13:15:35Z,temp_f,71.92
2023-01-09T13:15:35Z,rh_percent,32.671
2023-01-09T13:15:36Z,temp_f,71.92
2023-01-09T13:15:36Z,rh_percent,32.804
2023-01-09T13:15:37Z,temp_f,71.92
2023-01-09T13:15:37Z,rh_percent,32.87
2023-01-09T13:15:38Z,temp_f,71.92
2023-01-09T13:15:38Z,rh_percent,32.937
2023-01-09T13:15:39Z,temp_f,71.92
2023-01-09T13:15:39Z,rh_percent,32.904
2023-01-09T13:15:40Z,temp_f,71.92
2023-01-09T13:15:40Z,rh_percent,32.87
2023-01-09T13:15:41Z,temp_f,71.964
2023-01-09T13:15:41Z,rh_percent,32.739
2023-01-09T13:15:42Z,temp_f,71.964
